PK,ID,InputID,ParticleID,SigmaV,Temperature,ScaleFactorID
660,af134769-468d-4698-8585-8af4fe348bf2,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.39215738009824e-18,99443.510355471,aeb1e9ca-ea7c-476d-9a28-f4555f5c439e
665,f17b855f-e836-4353-8c09-b991b77d30bf,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.82464136248279e-18,87157.5362442104,6bf3ff63-daa2-4874-b6eb-d8c269832120
670,f379d313-3f7e-47a5-975f-2e97ebbc9fd9,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.07402038780194e-17,76547.8466655919,af4f70f9-ae7b-4eef-843c-eb54372651bb
675,70af2e87-f906-42c4-a1d6-21523f5d6111,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.39533780885961e-17,67149.0944176361,b4b7a1ee-2d64-4c74-aa0b-e5c5727e6c5c
680,85bd2838-1e3b-4c0f-83ec-8064ad2a2616,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.48525960144572e-17,59396.2980532584,a2d380b0-6714-4b38-a56d-c69845b599cd
685,c7552d52-ad5c-4bfd-808c-3bef1f08074a,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.50897131422614e-17,52114.4650823044,92af0e22-e94d-4f59-ba2c-23015c65153c
690,8954bcaa-2fee-4d24-bfd5-37e02fddd3c0,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,6.30341831562063e-17,46463.4304245903,d9de2140-7911-4e65-8a40-ed5c8114a6e8
695,726ca496-4925-4e35-a4ab-b5f0564feb21,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,9.08272966752612e-17,41041.1483592997,2fab11a1-473c-40b0-aac4-b19145277da0
700,704737c7-5a1c-46a3-8eab-66c6a370d721,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.13608397226007e-16,36065.5948672673,496cc206-3c74-4c34-833e-e197d5609314
705,06728284-d58b-4e05-9e9b-590ebbc59b1a,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.34926794574647e-16,31899.4572576809,6b6c2e25-dc30-464f-9c6d-d7cdc844111d
710,99890071-23b1-433a-862d-9204d7eda5a7,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.64895418047005e-16,28017.1127732887,dea8132e-2a41-4ea4-a92c-a94cdebd664d
715,03fa1643-e4f0-4685-a8f1-0574f2bbd14d,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,7.10634447980157e-16,24985.8304883551,82e59694-d80c-4533-b0c0-3438b03e0bc0
720,b6dd210e-5381-4c1b-96d2-4093e1809451,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.03901092409741e-15,22106.7751643565,8fed539d-97f4-4efd-bcb2-c64eea4c21c9
725,82885512-03b7-41de-a940-613139b7bc28,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.72739942071196e-15,19471.9607160622,0004c62e-081f-4e9f-b5a9-35e25fc01c48
730,653e0db4-a521-49ba-9c0f-e49034b5d1e9,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.13859643206349e-15,17287.7791230338,e3d72ee2-8433-4afa-a7b5-dc01f9751a2c
735,c7cc6717-56c1-460d-98e3-2ec9fbbeeb14,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.98766303420171e-15,15303.2465135498,eb057ae9-e9c6-4a01-a8f8-6f30d4523ea7
740,6f5c46e3-a62d-4d5d-ab9c-53b932779dbf,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,6.14846455674231e-15,13672.0374646473,8963dfd4-2eca-4927-b9de-476a13fdf2b5
745,438addb4-9d28-4958-a52f-b93dfd739fef,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,9.68371182409924e-15,12040.7656533618,e65b17fd-dfc2-4715-9b90-59df99943a04
750,e766e5fa-1f2a-4926-9d01-b7b685b74417,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.69142289876814e-14,10834.882154906,a40c5315-d0db-4302-868c-418367b28c30
755,ce07cdde-ddab-4fb8-b9a7-42bc4f1910ba,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.75681698673847e-14,9685.35657580243,8298c423-e01a-4331-8966-2f5230afb3f7
760,7be20834-9e82-49fa-9b8c-7ea7ebcaa128,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.35343665611495e-14,8535.85443874655,4ed77aeb-2e36-4c4a-a144-493e56973845
765,731da142-a330-49b4-8669-17177a6f34fe,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.64842632119462e-14,7664.92471752281,1ac515a4-1c77-4b60-a9f7-601873bb59cb
770,7e795793-7347-42c2-b89d-6e5471392f65,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.08760107071406e-13,6887.99759890682,5bd8a665-14f8-43bd-be77-67bbf5a202d7
775,6f89e3be-a808-4961-b2b9-5ce9b0062370,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,3.85163582450411e-13,6175.66140171293,9bb65c52-9acb-4b27-8b6d-38b58f5e83cb
780,62bcc8a2-99ae-4d42-bbc0-59dd2731b059,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,6.84528186080697e-13,5595.72360069907,35ca897f-43b5-44d1-bd34-0a99ae5bdcc6
785,a3b47e79-5b95-4637-9748-79e25cf72ec7,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,9.72090576103342e-13,5038.6493905163,22c7b1d8-8e7c-4e73-addc-bfb8f496f10f
790,b45e8d70-d0d4-43b1-a53c-9a27007bac28,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.20854894694936e-12,4580.57536988453,ce48b338-2fa2-4932-972f-ba529fa9e568
795,328c4fdc-5f38-4dcf-9350-991fb453bd0e,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.43812562484286e-12,4135.83276462298,295125e4-65c5-4750-9924-775582c58c24
800,ac366109-3bab-40a4-8231-d64a7c9780ff,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.63149654678906e-12,3761.22900087276,c1ebd6b8-369a-4091-a221-12d122e33813
805,bdfec408-7132-41fc-bf64-372ab4d13640,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,1.81981195103627e-12,3396.41893277588,7d3315b7-4d25-4f4d-94ce-2ec8193ea731
810,a580a5b6-3a01-4cdc-b4f7-36779d7befe3,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,2.72760292815061e-12,3095.86449667577,aa370910-3aae-4f8d-b7dd-2d3baffe5092
815,c1da61b7-a490-47a0-a13e-38ed59765862,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,4.05580116650185e-12,2823.97020980272,ae00e842-8824-4dbf-8d9b-b5038a2ac253
820,f2c1cef3-ec79-4094-80ca-45831322b5ea,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,5.45977430858578e-12,2577.64660980706,4e620a2b-115c-4e21-acfe-66431dec4f94
825,7230db19-87d3-4c2b-b7d1-f0f43c4c11af,269a7cfa-3098-4d1c-b68c-85ed95a79df7,6394aad6-3eba-45bd-9f0b-a445df44622c,7.71358794579679e-12,2348.1452310654,624f3b62-4d66-471a-9102-38c41419fd4f
